,NO,Site,Result,TestName,Signal,Measure,LowLimit,HighLimit,Force,CheckStatus
32,3,0,PASS,OS_NEG,ATST1,-444.1478mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
33,3,0,PASS,OS_NEG,ATST2,-431.5259mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
34,3,0,PASS,OS_NEG,RCK2,-471.1238mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
35,3,0,PASS,OS_NEG,TRGEXP,-391.2427mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
36,3,0,PASS,OS_NEG,MSTSLV,-468.6972mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
37,3,0,PASS,OS_POS,CH_TX2L1,402.1164mV,100.0000mV,800.0000mV,100.0000uA,Checked
38,3,0,PASS,OS_POS,CH_GRSTL1,407.1618mV,100.0000mV,800.0000mV,100.0000uA,Checked
39,3,0,PASS,OS_POS,CH_TX1L1,406.4862mV,100.0000mV,800.0000mV,100.0000uA,Checked
40,3,0,PASS,OS_POS,VCP1,442.7634mV,100.0000mV,800.0000mV,100.0000uA,Checked
41,3,0,PASS,OS_POS,CH_VCOMS_B1,368.1610mV,100.0000mV,800.0000mV,100.0000uA,Checked
42,3,0,PASS,OS_POS,CH_VCOMS_T1,368.2510mV,100.0000mV,800.0000mV,100.0000uA,Checked
43,3,0,PASS,OS_POS,CH_VREFN_B1,367.7604mV,100.0000mV,800.0000mV,100.0000uA,Checked
44,3,0,PASS,OS_POS,CH_VREFN_T1,368.2490mV,100.0000mV,800.0000mV,100.0000uA,Checked
45,3,0,PASS,OS_POS,CH_VREFP_B1,343.4388mV,100.0000mV,800.0000mV,100.0000uA,Checked
46,3,0,PASS,OS_POS,CH_VREFP_T1,343.7351mV,100.0000mV,800.0000mV,100.0000uA,Checked
47,3,0,PASS,OS_POS,CH_VRPGA_B1,367.9834mV,100.0000mV,800.0000mV,100.0000uA,Checked
48,3,0,PASS,OS_POS,CH_VRPGA_T1,369.1283mV,100.0000mV,800.0000mV,100.0000uA,Checked
49,3,0,PASS,OS_POS,CH_VDDCL1,430.8093mV,100.0000mV,800.0000mV,100.0000uA,Checked
50,3,0,PASS,OS_POS,SA,377.1220mV,100.0000mV,800.0000mV,100.0000uA,Checked
51,3,0,PASS,OS_POS,SYSSTBN,391.4983mV,100.0000mV,800.0000mV,100.0000uA,Checked
52,3,0,PASS,OS_POS,SYSRSTN,432.6663mV,100.0000mV,800.0000mV,100.0000uA,Checked
53,3,0,PASS,OS_POS,VIREF,408.4532mV,100.0000mV,800.0000mV,100.0000uA,Checked
54,3,0,PASS,OS_POS,SDO,435.1758mV,100.0000mV,800.0000mV,100.0000uA,Checked
55,3,0,PASS,OS_POS,CSN,431.4136mV,100.0000mV,800.0000mV,100.0000uA,Checked
56,3,0,PASS,OS_POS,SCK,431.7460mV,100.0000mV,800.0000mV,100.0000uA,Checked
57,3,0,PASS,OS_POS,SDI,399.9192mV,100.0000mV,800.0000mV,100.0000uA,Checked
58,3,0,PASS,OS_POS,HSYNC,395.7261mV,100.0000mV,800.0000mV,100.0000uA,Checked
59,3,0,PASS,OS_POS,VSYNC,396.1389mV,100.0000mV,800.0000mV,100.0000uA,Checked
60,3,0,PASS,OS_POS,DTSTR0,437.1939mV,100.0000mV,800.0000mV,100.0000uA,Checked
61,3,0,PASS,OS_POS,DTSTR1,435.8286mV,100.0000mV,800.0000mV,100.0000uA,Checked
62,3,0,PASS,OS_POS,DTSTR3,436.1110mV,100.0000mV,800.0000mV,100.0000uA,Checked
63,3,0,PASS,OS_POS,DTSTR4,436.8021mV,100.0000mV,800.0000mV,100.0000uA,Checked
64,3,0,PASS,OS_POS,TOUT0,434.7482mV,100.0000mV,800.0000mV,100.0000uA,Checked
65,3,0,PASS,OS_POS,TOUT1,435.0896mV,100.0000mV,800.0000mV,100.0000uA,Checked
66,3,0,PASS,OS_POS,TOUT2,434.7845mV,100.0000mV,800.0000mV,100.0000uA,Checked
67,3,0,PASS,OS_POS,ATST0,395.8589mV,100.0000mV,800.0000mV,100.0000uA,Checked
68,3,0,PASS,OS_POS,ATST1,399.8488mV,100.0000mV,800.0000mV,100.0000uA,Checked
69,3,0,PASS,OS_POS,ATST2,386.7023mV,100.0000mV,800.0000mV,100.0000uA,Checked
70,3,0,PASS,OS_POS,RCK2,431.6426mV,100.0000mV,800.0000mV,100.0000uA,Checked
71,8,0,PASS,PLL,RCK2,55.6872,M,50.0000M,60.0000M,Checked
72,9,0,PASS,SPI_CNTR,SPI_CNTR_1.SPI_CNTR_1,SPI,FC(0),FA(0),None,Checked
73,10,0,PASS,SPI_TSG1,SPI_TSG1.SPI_TSG1,SPI,FC(0),FA(0),None,Checked
74,11,0,PASS,SPI_TSG2,SPI_TSG2.SPI_TSG2,SPI,FC(0),FA(0),None,Checked
75,12,0,PASS,VIREF,VIREF,1.2462V,900.0000mV,1.3000V,0.0000A,Checked
76,13,0,PASS,Vref,CH_VCOMS_B1,1.2309V,0.0000V,3.0000V,0.0000A,Checked
77,13,0,PASS,Vref,CH_VCOMS_T1,1.2500V,0.0000V,3.0000V,0.0000A,Checked
78,13,0,PASS,Vref,CH_VREFN_B1,1.2494V,0.0000V,3.0000V,0.0000A,Checked
79,13,0,PASS,Vref,CH_VREFN_T1,1.2336V,0.0000V,3.0000V,0.0000A,Checked
80,13,0,PASS,Vref,CH_VREFP_B1,2.2821V,0.0000V,3.0000V,0.0000A,Checked
81,13,0,PASS,Vref,CH_VREFP_T1,2.2499V,0.0000V,3.0000V,0.0000A,Checked
82,13,0,PASS,Vref,CH_VRPGA_B1,1.3030V,0.0000V,3.0000V,0.0000A,Checked
83,13,0,PASS,Vref,CH_VRPGA_T1,1.2837V,0.0000V,3.0000V,0.0000A,Checked
84,13,0,PASS,Vref_Double,CH_VCOMS_B1,1.2319V,0.0000V,3.0000V,0.0000A,Checked
85,13,0,PASS,Vref_Double,CH_VCOMS_T1,1.2326V,0.0000V,3.0000V,0.0000A,Checked
86,13,0,PASS,Vref_Double,CH_VREFN_B1,1.2346V,0.0000V,3.0000V,0.0000A,Checked
87,13,0,PASS,Vref_Double,CH_VREFN_T1,1.2338V,0.0000V,3.0000V,0.0000A,Checked
88,13,0,PASS,Vref_Double,CH_VREFP_B1,2.2852V,0.0000V,3.0000V,0.0000A,Checked
89,13,0,PASS,Vref_Double,CH_VREFP_T1,2.2855V,0.0000V,3.0000V,0.0000A,Checked
90,13,0,PASS,Vref_Double,CH_VRPGA_B1,1.2844V,0.0000V,3.0000V,0.0000A,Checked
91,13,0,PASS,Vref_Double,CH_VRPGA_T1,1.2845V,0.0000V,3.0000V,0.0000A,Checked
92,14,0,PASS,Pix,CH_RSH1,4.2864V,3.9000V,4.5000V,0.0000A,Checked
93,14,0,PASS,Pix,CH_GRSTH1,4.3238V,3.9000V,4.5000V,0.0000A,Checked
94,14,0,PASS,Pix,CH_TX2L1,-1.1392V,-1.4000V,-1.0000V,0.0000A,Checked
95,14,0,PASS,Pix,CH_TX1L1,-1.1214V,-1.4000V,-1.0000V,0.0000A,Checked
96,14,0,PASS,Pix,CH_TX2H1,3.8342V,3.4000V,4.0000V,0.0000A,Checked
97,14,0,PASS,Pix,CH_TX1H1,3.7971V,3.4000V,4.0000V,0.0000A,Checked
98,14,0,PASS,Pix,CH_VDDCL1,768.8983mV,500.0000mV,900.0000mV,0.0000A,Checked
99,14,0,PASS,Pix,CH_GRSTL1,-433.2145mV,-700.0000mV,-300.0000mV,0.0000A,Checked
100,15,0,PASS,ATST_VBGR,Vref_VBGR.Vref_VBGR,SPI,FC(0),FA(0),None,Checked
101,15,0,PASS,ATST_VBGR,ATST1,1.2503V,1.0000V,1.3000V,0.0000A,Checked
102,14,0,PASS,Vref_VBN1,Vref_VBN1.Vref_VBN1,SPI,FC(0),FA(0),None,Checked
103,14,0,PASS,Vref_VBN1,ATST0,1.1173V,1.0000V,1.3000V,0.0000A,Checked
104,14,0,PASS,Vref_VBN1,ATST1,1.1130V,1.0000V,1.3000V,0.0000A,Checked
105,14,0,PASS,Vref_PGAOUT,Vref_PGAOUT.Vref_PGAOUT,SPI,FC(0),FA(0),None,Checked
106,14,0,PASS,Vref_PGAOUT,ATST0,1.3292V,1.1000V,1.4000V,0.0000A,Checked
107,14,0,PASS,Vref_PGAOUT,ATST1,1.3255V,1.1000V,1.4000V,0.0000A,Checked
108,14,0,PASS,Vref_VBias1,Vref_VBias1.Vref_VBias1,SPI,FC(0),FA(0),None,Checked
109,14,0,PASS,Vref_VBias1,ATST0,1.2135V,900.0000mV,1.3000V,0.0000A,Checked
110,14,0,PASS,Vref_VBias1,ATST1,1.2040V,900.0000mV,1.3000V,0.0000A,Checked
111,14,0,PASS,Vref_VBias2,Vref_VBias2.Vref_VBias2,SPI,FC(0),FA(0),None,Checked
112,14,0,PASS,Vref_VBias2,ATST0,1.2421V,900.0000mV,1.3000V,0.0000A,Checked
113,14,0,PASS,Vref_VBias2,ATST1,1.2062V,900.0000mV,1.3000V,0.0000A,Checked
114,14,0,PASS,Vref_VBias3,Vref_VBias3.Vref_VBias3,SPI,FC(0),FA(0),None,Checked
115,14,0,FAIL,Vref_VBias3,ATST0,78.7504mV,2.3000V,2.7000V,0.0000A,Checked
116,14,0,FAIL,Vref_VBias3,ATST1,48.4488mV,2.3000V,2.7000V,0.0000A,Checked
117,14,0,PASS,Vref_VBias4,Vref_VBias4.Vref_VBias4,SPI,FC(0),FA(0),None,Checked
118,14,0,PASS,Vref_VBias4,ATST0,933.7563mV,700.0000mV,1.0000V,0.0000A,Checked
119,14,0,PASS,Vref_VBias4,ATST1,896.2387mV,700.0000mV,1.0000V,0.0000A,Checked
120,14,0,PASS,IREF,Iref_IREF.Iref_IREF,SPI,FC(0),FA(0),None,Checked
121,14,0,PASS,IREF,ATST0_20K,1.1111V,700.0000mV,1.2000V,0.0000A,Checked
122,14,0,PASS,IREF,ATST1_20K,1.1066V,700.0000mV,1.2000V,0.0000A,Checked
123,14,0,PASS,Iref_PLL,Iref_PLL.Iref_PLL,SPI,FC(0),FA(0),None,Checked
124,14,0,PASS,Iref_PLL,ATAT2_20K,1.1929V,700.0000mV,1.3000V,0.0000A,Checked
125,14,0,PASS,ADC,ADC_config.ADC_config,SPI,FC(0),FA(0),None,Checked
126,14,0,PASS,ADC,ADC.ADC,SPI,FC(0),FA(0),None,Checked
127,999,0,PASS,AnalysisData_Dtstr1,-,-,-,-,-,Checked
128,14,0,PASS,ADC,compare,1.0000,0.0000,2.0000,,Checked
129,14,0,PASS,ADC,ADC.ADC,SPI,FC(0),FA(0),None,Checked
130,999,0,PASS,AnalysisData_Dtstr1,-,-,-,-,-,Checked
131,14,0,PASS,ADC,compare,1.0000,0.0000,2.0000,,Checked
132,14,0,PASS,SYNCGEN_test,SYNCGEN_config.SYNCGEN_config,SPI,FC(0),FA(0),None,Checked
133,14,0,PASS,SYNCGEN_test,SYNCGEN_test.SYNCGEN_test,SPI,FC(0),FA(0),None,Checked
134,999,0,PASS,AnalysisData_DTSTL4,-,-,-,-,-,Checked
135,14,0,PASS,SYNCGEN_test,compare,1.0000,0.0000,2.0000,,Checked
136,14,0,PASS,ADLG,ADLG_config.ADLG_config,SPI,FC(0),FA(0),None,Checked
137,14,0,PASS,ADLG,ADLG.ADLG,SPI,FC(0),FA(0),None,Checked
138,14,0,PASS,ADLG,compare,1.0000,0.0000,2.0000,,Checked
139,14,0,PASS,ADLG,ADLG.ADLG,SPI,FC(0),FA(0),None,Checked
140,999,0,PASS,AnalysisData_ADLG_DTSTR0,-,-,-,-,-,Checked
141,14,0,PASS,ADLG,compare,1.0000,0.0000,2.0000,,Checked
142,14,0,PASS,TSG_TEST,TSG_config.TSG_config,SPI,FC(0),FA(0),None,Checked
143,14,0,PASS,TSG_TEST,TSG.TSG,SPI,FC(0),FA(0),None,Checked
144,14,0,PASS,TSG_TEST,compare,1.0000,0.0000,2.0000,,Checked
145,14,0,PASS,TSG_TEST,TSG.TSG,SPI,FC(0),FA(0),None,Checked
146,14,0,PASS,TSG_TEST,compare,1.0000,0.0000,2.0000,,Checked
147,14,0,PASS,TSG2_TEST,TSG2_config.TSG2_config,SPI,FC(0),FA(0),None,Checked
148,14,0,PASS,TSG2_TEST,TSG2.TSG2,SPI,FC(0),FA(0),None,Checked
149,14,0,PASS,TSG2_TEST,compare,1.0000,0.0000,2.0000,,Checked
150,14,0,PASS,TSG2_TEST,TSG2.TSG2,SPI,FC(0),FA(0),None,Checked
151,14,0,PASS,TSG2_TEST,compare,1.0000,0.0000,2.0000,,Checked
152,-EOL-,0,1,1,60,15,1,0,12982ms,-
153,3,0,PASS,OS_NEG,CH_VCOMS_B1,-406.6084mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
154,3,0,PASS,OS_NEG,CH_VCOMS_T1,-406.7112mV,-800.0000mV,-100.0000mV,-100.0000uA,None
155,3,0,PASS,OS_NEG,CH_VREFN_B1,-400.3559mV,-800.0000mV,-100.0000mV,-100.0000uA,None
156,3,0,PASS,OS_NEG,CH_VREFN_T1,-399.6212mV,-800.0000mV,-100.0000mV,-100.0000uA,None
157,3,0,PASS,OS_NEG,CH_VREFP_B1,-414.6846mV,-800.0000mV,-100.0000mV,-100.0000uA,None
158,3,0,PASS,OS_NEG,CH_VREFP_T1,-411.1236mV,-800.0000mV,-100.0000mV,-100.0000uA,None
159,3,0,PASS,OS_NEG,CH_VRPGA_B1,-412.9965mV,-800.0000mV,-100.0000mV,-100.0000uA,None
160,3,0,PASS,OS_NEG,CH_VRPGA_T1,-410.8766mV,-800.0000mV,-100.0000mV,-100.0000uA,None
161,3,0,PASS,OS_NEG,CH_VDDCL1,-395.6557mV,-800.0000mV,-100.0000mV,-100.0000uA,None
162,3,0,PASS,OS_NEG,CH_RSH1,-394.9552mV,-800.0000mV,-100.0000mV,-100.0000uA,None
163,3,0,PASS,OS_NEG,CH_GRSTH1,-396.3027mV,-800.0000mV,-100.0000mV,-100.0000uA,None
164,3,0,PASS,OS_NEG,CH_TX2H1,-388.8528mV,-800.0000mV,-100.0000mV,-100.0000uA,None
165,3,0,PASS,OS_NEG,CH_TX1H1,-395.0223mV,-800.0000mV,-100.0000mV,-100.0000uA,None
166,3,0,PASS,OS_NEG,SA,-407.8352mV,-800.0000mV,-100.0000mV,-100.0000uA,None
167,3,0,PASS,OS_NEG,SYSSTBN,-429.2089mV,-800.0000mV,-100.0000mV,-100.0000uA,None
168,3,0,PASS,OS_NEG,SYSRSTN,-466.1682mV,-800.0000mV,-100.0000mV,-100.0000uA,None
169,3,0,PASS,OS_NEG,VCP2,-375.7007mV,-800.0000mV,-100.0000mV,-100.0000uA,None
170,3,0,PASS,OS_NEG,VIREF,-454.3682mV,-800.0000mV,-100.0000mV,-100.0000uA,None
171,3,0,PASS,OS_NEG,SDO,-472.4410mV,-800.0000mV,-100.0000mV,-100.0000uA,None
172,3,0,PASS,OS_NEG,CSN,-467.9331mV,-800.0000mV,-100.0000mV,-100.0000uA,None
173,3,0,PASS,OS_NEG,SCK,-471.3240mV,-800.0000mV,-100.0000mV,-100.0000uA,None
174,3,0,PASS,OS_NEG,SDI,-439.4865mV,-800.0000mV,-100.0000mV,-100.0000uA,None
175,3,0,PASS,OS_NEG,HSYNC,-326.3020mV,-800.0000mV,-100.0000mV,-100.0000uA,None
176,3,0,PASS,OS_NEG,VSYNC,-395.2482mV,-800.0000mV,-100.0000mV,-100.0000uA,None
177,3,0,PASS,OS_NEG,DTSTR0,-323.4524mV,-800.0000mV,-100.0000mV,-100.0000uA,None
178,3,0,PASS,OS_NEG,DTSTR1,-475.9137mV,-800.0000mV,-100.0000mV,-100.0000uA,None
179,3,0,PASS,OS_NEG,DTSTR3,-475.2526mV,-800.0000mV,-100.0000mV,-100.0000uA,None
180,3,0,PASS,OS_NEG,DTSTR4,-331.2631mV,-800.0000mV,-100.0000mV,-100.0000uA,None
181,3,0,PASS,OS_NEG,TOUT0,-473.4575mV,-800.0000mV,-100.0000mV,-100.0000uA,None
182,3,0,PASS,OS_NEG,TOUT1,-477.5988mV,-800.0000mV,-100.0000mV,-100.0000uA,None
183,3,0,PASS,OS_NEG,TOUT2,-473.8117mV,-800.0000mV,-100.0000mV,-100.0000uA,None
184,3,0,PASS,OS_NEG,ATST0,-452.0331mV,-800.0000mV,-100.0000mV,-100.0000uA,None
185,3,0,PASS,OS_NEG,ATST1,-454.1542mV,-800.0000mV,-100.0000mV,-100.0000uA,None
186,3,0,PASS,OS_NEG,ATST2,-446.8725mV,-800.0000mV,-100.0000mV,-100.0000uA,None
187,3,0,PASS,OS_NEG,RCK2,-468.7199mV,-800.0000mV,-100.0000mV,-100.0000uA,None
188,3,0,PASS,OS_NEG,TRGEXP,-391.2427mV,-800.0000mV,-100.0000mV,-100.0000uA,None
189,3,0,PASS,OS_NEG,MSTSLV,-468.9645mV,-800.0000mV,-100.0000mV,-100.0000uA,None
190,3,0,PASS,OS_POS,CH_TX2L1,402.0019mV,100.0000mV,800.0000mV,100.0000uA,None
191,3,0,PASS,OS_POS,CH_GRSTL1,406.7423mV,100.0000mV,800.0000mV,100.0000uA,None
192,3,0,PASS,OS_POS,CH_TX1L1,406.3334mV,100.0000mV,800.0000mV,100.0000uA,None
193,3,0,PASS,OS_POS,VCP1,443.1065mV,100.0000mV,800.0000mV,100.0000uA,None
194,3,0,PASS,OS_POS,CH_VCOMS_B1,367.2823mV,100.0000mV,800.0000mV,100.0000uA,None
195,3,0,PASS,OS_POS,CH_VCOMS_T1,367.0662mV,100.0000mV,800.0000mV,100.0000uA,None
196,3,0,PASS,OS_POS,CH_VREFN_B1,367.1489mV,100.0000mV,800.0000mV,100.0000uA,None
197,3,0,PASS,OS_POS,CH_VREFN_T1,367.4071mV,100.0000mV,800.0000mV,100.0000uA,None
198,3,0,PASS,OS_POS,CH_VREFP_B1,342.2164mV,100.0000mV,800.0000mV,100.0000uA,None
199,3,0,PASS,OS_POS,CH_VREFP_T1,342.8170mV,100.0000mV,800.0000mV,100.0000uA,None
200,3,0,PASS,OS_POS,CH_VRPGA_B1,367.2957mV,100.0000mV,800.0000mV,100.0000uA,None
201,3,0,PASS,OS_POS,CH_VRPGA_T1,368.3636mV,100.0000mV,800.0000mV,100.0000uA,None
202,3,0,PASS,OS_POS,CH_VDDCL1,431.0769mV,100.0000mV,800.0000mV,100.0000uA,None
203,3,0,PASS,OS_POS,SA,375.9019mV,100.0000mV,800.0000mV,100.0000uA,None
204,3,0,PASS,OS_POS,SYSSTBN,390.3579mV,100.0000mV,800.0000mV,100.0000uA,None
205,3,0,PASS,OS_POS,SYSRSTN,431.1401mV,100.0000mV,800.0000mV,100.0000uA,None
206,3,0,PASS,OS_POS,VIREF,407.9570mV,100.0000mV,800.0000mV,100.0000uA,None
207,3,0,PASS,OS_POS,SDO,434.6038mV,100.0000mV,800.0000mV,100.0000uA,None
208,3,0,PASS,OS_POS,CSN,431.4136mV,100.0000mV,800.0000mV,100.0000uA,None
209,3,0,PASS,OS_POS,SCK,432.0511mV,100.0000mV,800.0000mV,100.0000uA,None
210,3,0,PASS,OS_POS,SDI,400.3776mV,100.0000mV,800.0000mV,100.0000uA,None
211,3,0,PASS,OS_POS,HSYNC,396.1809mV,100.0000mV,800.0000mV,100.0000uA,None
212,3,0,PASS,OS_POS,VSYNC,397.3618mV,100.0000mV,800.0000mV,100.0000uA,None
213,3,0,PASS,OS_POS,DTSTR0,436.2025mV,100.0000mV,800.0000mV,100.0000uA,None
214,3,0,PASS,OS_POS,DTSTR1,435.2557mV,100.0000mV,800.0000mV,100.0000uA,None
215,3,0,PASS,OS_POS,DTSTR3,436.1110mV,100.0000mV,800.0000mV,100.0000uA,None
216,3,0,PASS,OS_POS,DTSTR4,436.4199mV,100.0000mV,800.0000mV,100.0000uA,None
217,3,0,PASS,OS_POS,TOUT0,435.0918mV,100.0000mV,800.0000mV,100.0000uA,None
218,3,0,PASS,OS_POS,TOUT1,434.3642mV,100.0000mV,800.0000mV,100.0000uA,None
219,3,0,PASS,OS_POS,TOUT2,435.1285mV,100.0000mV,800.0000mV,100.0000uA,None
220,3,0,PASS,OS_POS,ATST0,396.1644mV,100.0000mV,800.0000mV,100.0000uA,None
221,3,0,PASS,OS_POS,ATST1,399.4288mV,100.0000mV,800.0000mV,100.0000uA,None
222,3,0,PASS,OS_POS,ATST2,385.4837mV,100.0000mV,800.0000mV,100.0000uA,None
223,3,0,PASS,OS_POS,RCK2,430.1164mV,100.0000mV,800.0000mV,100.0000uA,None
224,8,0,PASS,PLL,RCK2,55.6872,M,50.0000M,60.0000M,0.0000
225,9,0,PASS,SPI_CNTR,SPI_CNTR_1.SPI_CNTR_1,SPI,FC(0),FA(0),None,None
226,10,0,PASS,SPI_TSG1,SPI_TSG1.SPI_TSG1,SPI,FC(0),FA(0),None,None
227,11,0,PASS,SPI_TSG2,SPI_TSG2.SPI_TSG2,SPI,FC(0),FA(0),None,None
228,12,0,PASS,VIREF,VIREF,1.2380V,900.0000mV,1.3000V,0.0000A,None
229,13,0,PASS,Vref,CH_VCOMS_B1,1.2365V,0.0000V,3.0000V,0.0000A,None
230,13,0,PASS,Vref,CH_VCOMS_T1,1.2370V,0.0000V,3.0000V,0.0000A,None
231,13,0,PASS,Vref,CH_VREFN_B1,1.2355V,0.0000V,3.0000V,0.0000A,None
232,13,0,PASS,Vref,CH_VREFN_T1,1.2363V,0.0000V,3.0000V,0.0000A,None
233,13,0,PASS,Vref,CH_VREFP_B1,2.2546V,0.0000V,3.0000V,0.0000A,None
234,13,0,PASS,Vref,CH_VREFP_T1,2.2599V,0.0000V,3.0000V,0.0000A,None
235,13,0,PASS,Vref,CH_VRPGA_B1,1.2906V,0.0000V,3.0000V,0.0000A,None
236,13,0,PASS,Vref,CH_VRPGA_T1,1.2886V,0.0000V,3.0000V,0.0000A,None
237,13,0,PASS,Vref_Double,CH_VCOMS_B1,1.2367V,0.0000V,3.0000V,0.0000A,None
238,13,0,PASS,Vref_Double,CH_VCOMS_T1,1.2375V,0.0000V,3.0000V,0.0000A,None
239,13,0,PASS,Vref_Double,CH_VREFN_B1,1.2364V,0.0000V,3.0000V,0.0000A,None
240,13,0,PASS,Vref_Double,CH_VREFN_T1,1.2361V,0.0000V,3.0000V,0.0000A,None
241,13,0,PASS,Vref_Double,CH_VREFP_B1,2.2591V,0.0000V,3.0000V,0.0000A,None
242,13,0,PASS,Vref_Double,CH_VREFP_T1,2.2584V,0.0000V,3.0000V,0.0000A,None
243,13,0,PASS,Vref_Double,CH_VRPGA_B1,1.2903V,0.0000V,3.0000V,0.0000A,None
244,13,0,PASS,Vref_Double,CH_VRPGA_T1,1.2909V,0.0000V,3.0000V,0.0000A,None
245,14,0,PASS,Pix,CH_RSH1,4.2211V,3.9000V,4.5000V,0.0000A,None
246,14,0,PASS,Pix,CH_GRSTH1,4.3762V,3.9000V,4.5000V,0.0000A,None
247,14,0,PASS,Pix,CH_TX2L1,-1.2636V,-1.4000V,-1.0000V,0.0000A,None
248,14,0,PASS,Pix,CH_TX1L1,-1.2508V,-1.4000V,-1.0000V,0.0000A,None
249,14,0,PASS,Pix,CH_TX2H1,3.8387V,3.4000V,4.0000V,0.0000A,None
250,14,0,PASS,Pix,CH_TX1H1,3.7544V,3.4000V,4.0000V,0.0000A,None
251,14,0,PASS,Pix,CH_VDDCL1,741.5261mV,500.0000mV,900.0000mV,0.0000A,None
252,14,0,PASS,Pix,CH_GRSTL1,-507.6663mV,-700.0000mV,-300.0000mV,0.0000A,None
253,15,0,PASS,ATST_VBGR,Vref_VBGR.Vref_VBGR,SPI,FC(0),FA(0),None,None
254,15,0,PASS,ATST_VBGR,ATST1,1.2374V,1.0000V,1.3000V,0.0000A,None
